title,rate,people,author
EffectiveC++中文版,9.2,(1304人评价),作者:[美]ScottMeyers
阿拉伯的劳伦斯,9.1,(1649人评价),作者:[美]斯科特·安德森
重构,9.1,(1296人评价),作者:MartinFowler
中国哲学简史,9.0,(1012人评价),作者:冯友兰
傅山的世界,9.0,(1108人评价),作者:白谦慎
C和指针,9.0,(1160人评价),作者:KennethA.Reek
備忘錄,9.1,(1065人评价),作者:夏宇
论自由,9.4,(1362人评价),作者:[英]约翰·穆勒
人性的枷锁,9.0,(1509人评价),作者:威廉·萨默赛特·毛姆/(W.S.Maugham)
有匪1,9.0,(4209人评价),作者:priest
大明王朝1566,9.1,(1974人评价),作者:刘和平
黄金时代,9.0,(1218人评价),作者:王小波
给心理治疗师的礼物,9.0,(1118人评价),作者:[美]雅罗姆（IrvinD.Yalom）
麒麟之生死與共,9.5,(2039人评价),作者:桔子樹
沈从文的后半生,9.0,(1256人评价),作者:张新颖
公司理财,8.8,(1285人评价),作者:斯蒂芬A.罗斯
世界的凛冬,9.0,(9707人评价),作者:[英]肯·福莱特
人鼠之间,9.1,(1653人评价),作者:[美]约翰·斯坦贝克（JohnSteinbeck）
面纱,9.0,(3079人评价),作者:[英]毛姆
欲望号街车,9.0,(1219人评价),作者:[美]田纳西·威廉斯
南怀瑾选集（第一卷）,9.2,(1392人评价),作者:南怀瑾述
